amount,hour,merchant_risk,distance_km,prev_txn_gap,velocity_1h,card_age_days,is_international,is_fraud
70.59,14,11.0,3.9,435.0,0,1036.0,0,0
13.3,17,11.7,3.8,1528.0,4,248.0,0,0
75.07,10,81.0,163.2,85.0,8,777.0,1,1
9.51,12,9.3,2.8,650.0,1,1177.0,0,0
25.5,15,32.8,15.9,227.0,2,745.0,0,0
22.08,23,19.0,8.0,1249.0,3,376.0,0,0
45.09,11,27.8,11.8,1546.0,2,1349.0,0,0
9.97,10,17.9,4.8,1046.0,3,878.0,0,0
87.27,7,23.5,13.8,1019.0,1,351.0,0,0
112.66,4,10.8,11.4,1465.0,1,837.0,0,0
27.3,13,3.9,9.1,704.0,3,315.0,0,0
134.44,19,10.9,2.5,1066.0,2,1123.0,0,0
53.81,5,18.8,26.4,1163.0,0,733.0,0,0
127.74,18,16.2,3.8,1032.0,0,459.0,0,0
96.55,20,42.5,14.1,248.0,0,491.0,0,0
25.78,16,21.0,10.4,548.0,0,846.0,1,0
21.89,19,14.3,20.2,1231.0,1,998.0,0,0
42.4,12,6.2,4.2,1149.0,1,875.0,0,0
19.76,15,28.5,34.8,641.0,0,849.0,0,0
73.01,11,17.9,19.3,899.0,1,1028.0,0,0
56.61,16,13.3,12.7,1321.0,0,406.0,0,0
147.82,7,57.5,52.2,65.0,5,402.0,1,1
24.79,9,18.8,11.3,519.0,1,1204.0,0,0
189.4,7,36.5,4.7,720.0,1,1062.0,0,0
28.21,14,8.6,35.4,315.0,1,1399.0,0,0
7.08,8,20.0,17.7,57.0,0,1047.0,0,0
41.01,4,10.1,0.4,57.0,3,30.0,0,0
99.7,15,21.7,2.2,115.0,1,806.0,0,0
26.07,20,27.3,16.3,1357.0,0,1073.0,0,0
24.96,17,11.5,5.2,238.0,4,1338.0,0,0
18.53,7,31.1,14.8,462.0,1,634.0,0,0
40.72,10,26.5,4.6,510.0,0,594.0,0,0
46.19,17,18.9,9.3,1744.0,1,1202.0,0,0
50.78,10,31.2,0.4,250.0,3,485.0,0,0
30.81,17,5.3,15.1,127.0,4,260.0,0,0
7.34,8,9.3,13.3,666.0,2,996.0,0,0
64.2,11,22.5,4.4,202.0,0,925.0,0,0
181.43,1,54.6,207.4,37.0,3,305.0,0,1
44.31,7,14.7,2.8,1213.0,0,1213.0,0,0
23.16,9,12.9,15.9,857.0,1,570.0,0,0
22.12,11,11.0,13.8,607.0,3,926.0,0,0
27.71,10,20.4,15.4,452.0,1,757.0,0,0
139.06,15,64.2,131.7,7.0,2,89.0,1,1
26.02,11,40.3,18.5,1679.0,1,495.0,0,0
404.39,0,83.5,18.1,53.0,6,418.0,0,1
37.8,14,18.9,16.0,617.0,0,248.0,0,0
4.46,15,25.3,3.5,1240.0,2,491.0,0,0
245.72,2,62.4,86.5,41.0,5,192.0,1,1
20.87,14,14.9,13.4,1569.0,2,885.0,0,0
19.64,8,2.8,9.3,333.0,1,1590.0,1,0
26.63,4,12.2,12.3,966.0,1,744.0,0,0
44.07,11,31.4,3.3,212.0,0,1332.0,1,0
254.61,4,38.0,134.4,85.0,8,170.0,0,1
7.32,5,13.0,13.4,687.0,1,990.0,0,0
24.21,13,20.6,13.2,311.0,1,827.0,0,0
197.52,11,45.4,41.0,7.0,8,448.0,0,1
21.71,13,11.9,10.6,1049.0,2,964.0,0,0
29.64,8,23.3,3.0,593.0,1,988.0,0,0
24.18,20,30.0,31.1,1197.0,0,900.0,0,0
25.88,6,7.4,21.6,610.0,0,1098.0,0,0
13.46,15,10.7,10.9,390.0,1,630.0,0,0
11.42,6,16.9,12.8,1397.0,2,2032.0,0,0
7.93,17,27.2,19.8,112.0,2,1191.0,1,0
70.83,3,53.9,178.9,45.0,1,207.0,1,1
14.01,11,10.1,6.1,337.0,0,835.0,0,0
6.06,10,29.3,21.7,199.0,0,362.0,0,0
71.67,14,11.6,16.3,1224.0,3,30.0,0,0
74.55,13,23.4,29.8,402.0,0,404.0,0,0
288.84,5,73.9,116.0,28.0,7,231.0,0,1
122.52,20,26.7,26.2,402.0,1,796.0,0,0
16.86,22,2.8,13.9,38.0,0,1701.0,0,0
11.93,12,37.2,24.2,1102.0,1,1474.0,0,0
73.88,13,19.7,24.0,560.0,0,875.0,0,0
21.83,4,19.1,24.5,449.0,0,796.0,0,0
13.1,14,20.0,32.7,79.0,0,705.0,0,0
33.28,12,30.2,27.0,827.0,1,429.0,0,0
156.53,15,25.2,7.6,786.0,0,1080.0,0,0
82.7,12,3.9,5.5,70.0,1,657.0,0,0
6.23,12,8.5,12.6,1588.0,0,771.0,0,0
216.64,11,75.4,324.3,14.0,7,86.0,0,1
252.61,4,59.3,199.6,64.0,3,1.0,0,1
24.98,23,15.7,14.9,576.0,3,444.0,0,0
203.63,10,20.9,6.2,1127.0,2,1173.0,0,0
10.53,14,5.4,7.1,159.0,0,1030.0,0,0
25.24,4,22.6,7.5,2209.0,0,115.0,0,0
34.98,8,30.7,18.4,468.0,0,443.0,1,0
19.12,16,29.1,14.3,589.0,2,1167.0,0,0
645.37,3,80.9,136.2,46.0,7,280.0,0,1
42.67,12,13.2,15.3,291.0,2,422.0,0,0
74.67,0,38.8,112.7,108.0,6,191.0,1,1
7.17,10,13.0,1.3,47.0,1,1108.0,0,0
142.46,7,18.2,23.4,949.0,1,1476.0,0,0
12.59,9,2.2,12.9,77.0,0,668.0,0,0
6.59,10,17.5,27.4,1086.0,0,1359.0,0,0
40.71,4,18.4,92.2,75.0,5,576.0,1,1
20.47,14,21.1,3.2,1530.0,1,915.0,0,0
18.16,5,4.5,32.2,698.0,2,557.0,0,0
21.09,8,19.0,11.9,573.0,2,965.0,0,0
158.07,10,21.4,21.4,1028.0,0,714.0,0,0
22.56,13,78.1,146.3,3.0,4,295.0,1,1
18.72,12,19.3,22.4,653.0,0,1204.0,0,0
6.17,18,6.4,4.3,592.0,0,1560.0,0,0
20.44,20,26.5,8.3,604.0,2,747.0,0,0
63.13,9,12.2,15.3,926.0,1,1061.0,0,0
86.46,8,27.0,1.6,565.0,3,921.0,0,0
42.31,11,20.8,6.3,984.0,2,647.0,0,0
310.41,16,52.2,13.9,815.0,0,1109.0,0,0
44.3,20,14.2,1.4,795.0,0,1116.0,1,0
62.47,15,36.4,95.3,71.0,5,307.0,0,1
14.86,15,24.3,5.8,1096.0,1,521.0,0,0
11.56,10,20.3,13.8,1655.0,1,1141.0,0,0
24.03,8,14.6,15.2,1397.0,0,1098.0,0,0
8.69,17,36.2,9.7,1302.0,1,1142.0,0,0
40.86,15,8.9,28.6,689.0,1,637.0,0,0
43.74,12,16.2,0.8,406.0,1,669.0,0,0
22.7,8,18.6,5.7,1499.0,0,643.0,0,0
60.73,7,27.4,7.3,1401.0,2,926.0,0,0
4.94,10,25.9,3.8,835.0,0,721.0,0,0
111.0,16,13.6,16.1,459.0,1,445.0,0,0
41.63,15,15.5,2.7,905.0,2,530.0,0,0
63.71,14,16.1,5.8,391.0,2,777.0,0,0
36.95,10,26.9,23.3,554.0,0,965.0,0,0
113.67,7,5.4,25.7,464.0,1,1743.0,0,0
90.45,0,96.9,14.5,8.0,5,152.0,1,1
13.41,8,20.0,20.9,1553.0,2,549.0,0,0
43.97,8,76.8,27.5,48.0,6,677.0,0,1
2.7,12,9.5,0.3,705.0,1,1143.0,0,0
13.71,4,23.8,11.9,1019.0,1,405.0,0,0
25.87,15,30.1,1.7,335.0,1,891.0,0,0
19.38,18,11.5,20.9,983.0,1,621.0,0,0
4.98,21,3.1,12.8,1236.0,0,698.0,0,0
15.97,9,17.1,3.3,855.0,0,1403.0,0,0
13.59,14,18.3,3.8,858.0,1,858.0,0,0
44.78,15,28.8,5.1,1004.0,2,840.0,0,0
52.62,12,29.4,0.0,886.0,1,627.0,1,0
44.16,13,22.8,8.1,1439.0,0,1124.0,0,0
53.18,13,36.2,21.8,706.0,1,564.0,0,0
14.82,12,19.2,10.5,766.0,1,701.0,0,0
11.83,16,14.3,10.0,911.0,0,578.0,0,0
22.34,11,8.1,10.9,22.0,0,473.0,0,0
18.76,23,19.7,0.7,640.0,2,1396.0,0,0
13.29,8,18.5,16.0,178.0,2,859.0,0,0
673.67,18,67.2,198.1,57.0,4,142.0,0,1
69.55,23,35.5,0.6,716.0,0,1288.0,0,0
5.61,12,19.9,6.8,350.0,6,1155.0,0,0
61.19,18,9.6,5.2,5.0,1,892.0,0,0
12.3,20,28.3,17.9,471.0,3,808.0,0,0
349.54,3,84.4,7.6,40.0,7,378.0,0,1
26.95,15,39.7,10.1,1467.0,1,938.0,0,0
39.94,15,29.6,5.7,692.0,1,244.0,0,0
53.19,17,19.3,20.2,166.0,2,339.0,0,0
27.84,5,24.1,2.2,759.0,1,708.0,0,0
10.44,19,40.2,11.6,321.0,1,844.0,0,0
134.68,3,45.7,56.6,110.0,6,4.0,1,1
24.55,17,24.4,30.7,1664.0,1,1207.0,0,0
11.62,13,11.1,8.4,726.0,2,434.0,0,0
38.49,12,9.6,19.1,1113.0,1,603.0,0,0
250.55,20,59.6,141.0,46.0,6,226.0,0,1
31.84,6,15.6,7.0,694.0,3,1333.0,0,0
145.89,4,49.3,165.3,26.0,10,166.0,1,1
58.87,17,35.3,8.4,621.0,4,756.0,0,0
23.85,5,16.9,10.2,700.0,2,884.0,0,0
41.74,7,6.6,29.1,606.0,3,758.0,0,0
434.41,6,80.8,183.4,123.0,4,1.0,1,1
18.45,19,26.7,12.4,351.0,0,792.0,0,0
128.33,22,34.2,11.2,119.0,1,1444.0,0,0
115.36,9,84.5,109.1,28.0,7,74.0,0,1
108.84,8,24.6,4.7,1458.0,2,570.0,0,0
8.09,9,13.0,12.6,901.0,1,1115.0,0,0
14.41,8,23.4,4.1,993.0,1,423.0,0,0
20.78,17,35.7,8.4,1058.0,3,784.0,0,0
17.61,12,12.7,28.3,537.0,0,1355.0,0,0
566.38,12,65.2,110.0,16.0,5,319.0,0,1
21.22,16,38.9,9.2,1178.0,0,749.0,0,0
12.03,16,19.2,0.1,105.0,0,935.0,0,0
69.86,13,33.7,1.8,782.0,1,913.0,0,0
4.73,7,12.5,9.6,77.0,0,1406.0,0,0
61.05,11,13.1,6.7,1043.0,1,316.0,0,0
31.03,10,23.3,4.1,651.0,0,1543.0,0,0
22.18,13,59.8,5.0,185.0,1,875.0,0,0
6.33,15,14.4,16.9,302.0,0,296.0,0,0
11.75,18,13.5,7.5,1069.0,1,808.0,0,0
34.56,15,23.9,0.0,337.0,1,444.0,1,0
10.21,14,14.2,15.4,575.0,1,262.0,0,0
37.99,13,13.4,3.2,222.0,4,427.0,0,0
21.61,18,20.7,4.9,575.0,2,890.0,0,0
205.48,17,72.2,185.2,34.0,3,425.0,1,1
26.16,12,6.0,28.5,1427.0,1,1135.0,0,0
432.04,4,84.5,97.3,47.0,3,217.0,0,1
48.28,12,11.1,2.1,904.0,1,667.0,0,0
58.9,9,11.6,0.5,663.0,1,516.0,0,0
129.81,17,8.5,10.3,840.0,4,589.0,0,0
210.0,18,84.9,23.2,48.0,7,130.0,0,1
126.59,1,76.1,29.9,56.0,5,167.0,0,1
9.28,13,36.4,3.4,1095.0,0,928.0,0,0
31.58,12,18.1,1.7,528.0,2,563.0,0,0
19.83,21,19.5,6.6,652.0,2,615.0,0,0
12.21,0,14.8,5.4,644.0,1,660.0,0,0
34.46,18,7.7,8.1,1154.0,2,552.0,0,0
38.22,9,19.2,18.8,25.0,1,1054.0,1,0
212.79,14,79.5,60.7,58.0,6,1.0,0,1
75.43,12,9.9,8.6,1054.0,2,398.0,0,0
33.02,11,10.2,8.2,601.0,3,1199.0,0,0
297.2,16,20.7,8.5,920.0,1,1267.0,0,0
97.38,8,30.2,25.0,136.0,2,2103.0,0,0
79.58,9,16.7,19.2,1315.0,1,939.0,0,0
126.67,17,63.3,19.1,200.0,0,787.0,0,0
103.76,12,69.9,46.9,9.0,1,331.0,0,1
21.51,18,13.5,19.9,790.0,0,1100.0,0,0
25.22,6,46.0,22.7,301.0,0,1207.0,0,0
13.91,16,7.4,5.2,47.0,4,831.0,0,0
53.46,11,32.4,15.4,269.0,2,766.0,0,0
17.03,11,32.0,10.7,751.0,1,886.0,1,0
16.51,15,14.3,44.0,907.0,4,1029.0,0,0
67.01,13,13.4,26.6,1045.0,0,590.0,1,0
14.1,0,10.5,2.8,567.0,0,1136.0,0,0
77.73,18,13.5,13.5,543.0,1,1509.0,0,0
18.61,12,20.8,10.4,1130.0,2,966.0,0,0
23.88,21,29.8,11.4,487.0,2,177.0,0,0
9.08,20,2.4,5.9,491.0,0,428.0,1,0
55.54,14,16.1,12.1,283.0,1,938.0,0,0
26.24,14,23.0,6.1,1306.0,0,525.0,0,0
42.31,9,20.8,6.1,260.0,0,594.0,0,0
162.25,23,19.4,14.7,199.0,2,1149.0,0,0
420.87,21,85.9,66.4,125.0,3,661.0,0,1
1196.05,14,18.9,95.9,77.0,7,1.0,1,1
73.42,12,21.7,13.2,713.0,3,944.0,0,0
67.07,16,24.3,12.5,879.0,1,769.0,0,0
10.96,16,29.7,24.1,1373.0,0,932.0,0,0
73.69,12,18.6,3.7,1565.0,0,1038.0,0,0
81.08,6,44.4,18.4,703.0,0,543.0,0,0
572.19,8,38.0,128.4,39.0,6,487.0,1,1
8.64,15,18.4,0.6,533.0,2,708.0,0,0
22.54,15,19.2,15.3,1316.0,0,1294.0,0,0
147.1,15,24.1,6.9,1894.0,3,1047.0,0,0
14.24,20,12.2,29.0,699.0,3,1301.0,0,0
25.27,14,50.7,15.2,905.0,1,1080.0,0,0
32.54,17,47.3,1.4,883.0,1,928.0,0,0
17.55,11,31.9,6.1,403.0,1,303.0,0,0
31.64,15,16.8,21.6,1161.0,0,1357.0,0,0
75.9,0,80.7,29.3,121.0,7,149.0,0,1
30.86,13,11.8,0.9,1312.0,3,936.0,0,0
99.74,17,13.5,10.8,1330.0,2,242.0,0,0
673.13,0,46.4,154.1,6.0,4,221.0,1,1
16.65,17,18.1,14.3,825.0,3,126.0,0,0
9.46,12,53.8,11.0,705.0,1,1100.0,1,0
21.64,19,8.9,25.3,556.0,1,413.0,0,0
10.58,9,10.4,2.5,1474.0,2,844.0,0,0
49.54,16,20.4,4.1,149.0,1,963.0,0,0
81.71,8,12.5,16.6,1240.0,1,1227.0,0,0
194.28,16,11.6,10.0,1122.0,1,612.0,0,0
13.9,10,10.1,12.7,737.0,1,1104.0,0,0
17.92,15,23.9,0.7,1196.0,0,680.0,0,0
10.74,3,6.7,5.3,998.0,0,598.0,0,0
30.8,11,19.3,7.7,1495.0,1,737.0,0,0
22.68,13,27.0,7.0,1497.0,2,151.0,0,0
78.21,14,13.2,6.8,564.0,1,1516.0,0,0
65.2,14,33.7,10.8,825.0,2,1026.0,0,0
11.75,11,9.5,17.9,216.0,1,508.0,0,0
42.83,20,11.6,21.9,109.0,0,453.0,0,0
264.64,11,15.9,10.8,540.0,1,971.0,0,0
31.97,12,2.5,21.9,170.0,1,30.0,0,0
25.7,21,17.1,17.4,1245.0,4,837.0,0,0
56.35,14,35.9,18.6,673.0,2,839.0,0,0
24.53,16,46.3,5.1,61.0,2,778.0,0,0
28.47,11,25.3,3.5,1380.0,0,1348.0,0,0
44.49,11,28.8,19.1,409.0,2,973.0,1,0
3.85,15,39.9,14.7,1677.0,0,1035.0,0,0
3.42,21,7.7,8.4,506.0,3,1022.0,0,0
39.42,11,6.9,20.5,148.0,0,816.0,0,0
31.81,23,16.9,4.9,682.0,1,146.0,0,0
13.2,10,32.9,1.3,1234.0,0,809.0,1,0
12.09,12,7.7,8.5,1790.0,3,1321.0,0,0
158.31,0,38.0,94.9,21.0,2,312.0,0,1
20.01,12,22.5,7.9,1038.0,0,1658.0,0,0
10.72,6,11.6,20.3,594.0,1,1029.0,0,0
47.9,10,25.4,1.8,1107.0,0,1188.0,0,0
19.9,15,12.0,0.1,583.0,0,373.0,0,0
41.31,8,20.4,4.7,291.0,2,1432.0,0,0
56.36,18,26.9,0.8,890.0,1,1212.0,0,0
32.55,20,28.4,1.7,504.0,1,698.0,0,0
39.13,12,20.5,1.4,798.0,1,952.0,0,0
195.52,4,68.7,260.2,40.0,5,53.0,0,1
54.54,14,26.0,11.9,75.0,0,919.0,0,0
24.46,0,70.1,125.3,40.0,10,528.0,0,1
36.5,14,6.0,18.9,14.0,3,50.0,0,0
123.47,12,34.2,7.8,706.0,5,30.0,0,0
493.63,1,60.2,136.3,109.0,8,430.0,0,1
25.22,5,19.7,6.9,100.0,2,596.0,0,0
34.37,3,6.9,1.9,1309.0,3,1263.0,0,0
8.68,6,8.4,32.5,191.0,1,1305.0,1,0
141.83,14,14.9,7.9,1204.0,1,783.0,0,0
13.47,10,3.7,13.5,132.0,2,478.0,0,0
7.28,10,13.5,20.1,1188.0,1,743.0,0,0
14.42,13,20.4,46.9,1196.0,1,717.0,0,0
7.91,15,27.6,8.9,789.0,3,350.0,0,0
3.42,12,5.5,3.4,1273.0,1,819.0,0,0
12.01,16,23.7,12.0,1062.0,0,1186.0,0,0
26.63,13,21.3,14.7,732.0,2,438.0,0,0
63.73,8,13.3,10.1,89.0,1,314.0,0,0
43.44,13,20.1,3.2,360.0,4,1184.0,0,0
101.04,18,22.0,21.3,392.0,0,975.0,0,0
111.64,13,16.2,25.5,503.0,0,486.0,0,0
38.42,16,20.2,4.9,603.0,0,1058.0,0,0
106.12,5,61.9,226.6,31.0,8,336.0,0,1
28.88,16,51.1,21.3,1201.0,0,322.0,0,0
12.45,10,13.5,6.2,617.0,1,834.0,0,0
43.51,17,19.2,17.5,559.0,0,638.0,0,0
9.94,16,8.4,14.2,23.0,2,1084.0,0,0
33.62,15,40.2,4.9,25.0,0,1428.0,0,0
69.25,15,43.9,25.4,496.0,1,1045.0,0,0
30.14,12,8.2,12.6,286.0,2,1279.0,1,0
46.87,10,24.9,5.7,959.0,1,1094.0,0,0
120.05,7,79.5,215.6,139.0,3,1.0,0,1
19.04,21,31.2,11.8,416.0,1,1172.0,0,0
11.52,16,17.4,10.3,638.0,3,1469.0,0,0
20.62,15,16.7,20.7,315.0,3,1559.0,0,0
47.47,2,56.5,8.3,972.0,1,778.0,0,0
15.55,13,18.9,17.5,830.0,1,1638.0,0,0
24.5,12,14.5,0.1,570.0,3,844.0,0,0
13.85,12,79.1,66.3,9.0,5,235.0,1,1
102.26,12,12.1,15.6,566.0,1,593.0,0,0
53.07,14,22.9,0.5,205.0,1,1060.0,0,0
1213.56,16,69.6,101.2,17.0,4,402.0,0,1
30.29,14,31.5,2.0,1253.0,1,865.0,0,0
119.36,13,27.3,1.2,281.0,2,1062.0,0,0
48.85,10,17.4,20.9,569.0,0,1100.0,0,0
3.71,5,13.6,1.3,257.0,0,1936.0,0,0
63.83,13,8.0,12.6,470.0,2,312.0,0,0
37.04,7,9.9,29.7,28.0,2,576.0,0,0
23.39,12,9.0,0.5,630.0,0,1036.0,0,0
23.59,10,20.1,6.7,1072.0,2,30.0,0,0
41.5,11,1.3,7.2,1639.0,2,961.0,0,0
64.68,14,22.7,23.8,1440.0,1,1162.0,0,0
50.76,1,68.0,131.8,15.0,3,163.0,0,1
20.38,4,17.1,13.8,530.0,0,568.0,0,0
171.32,15,29.8,10.4,674.0,1,1123.0,0,0
14.76,9,21.5,14.3,519.0,2,800.0,1,0
12.85,0,31.3,19.3,1547.0,4,1474.0,0,0
17.24,7,24.9,9.8,382.0,2,1394.0,0,0
14.24,19,15.9,35.3,343.0,0,776.0,0,0
90.09,2,59.4,79.7,71.0,5,315.0,0,1
84.76,16,19.2,7.9,458.0,0,1315.0,0,0
52.89,13,21.0,24.3,1011.0,1,1397.0,0,0
44.32,11,41.5,13.6,1154.0,0,722.0,1,0
54.68,8,17.0,8.4,1965.0,1,1267.0,0,0
29.6,16,87.1,128.1,45.0,6,172.0,1,1
27.89,9,30.5,7.3,62.0,2,702.0,0,0
45.8,13,6.3,1.4,716.0,0,1211.0,1,0
37.33,13,11.9,4.5,49.0,1,946.0,0,0
29.6,11,13.9,14.9,579.0,4,663.0,0,0
92.44,17,35.9,7.3,757.0,1,803.0,0,0
10.86,11,28.3,11.0,544.0,0,1275.0,0,0
67.22,19,29.2,38.4,1061.0,2,629.0,0,0
22.23,10,32.1,4.1,1066.0,0,794.0,0,0
66.06,10,4.2,10.1,930.0,0,1698.0,0,0
10.03,10,0.2,4.8,1110.0,1,1089.0,0,0
50.54,14,44.8,9.9,819.0,3,987.0,0,0
49.09,17,4.9,1.3,1231.0,0,1064.0,0,0
5.77,17,42.3,5.9,1716.0,1,883.0,0,0
14.3,3,17.9,19.1,1189.0,2,1312.0,0,0
21.25,20,17.7,10.7,415.0,0,133.0,0,0
22.17,15,9.0,10.1,743.0,2,668.0,1,0
50.48,14,16.0,17.2,904.0,3,680.0,0,0
27.45,10,18.4,8.9,731.0,1,1372.0,0,0
19.6,19,20.9,4.8,88.0,1,1234.0,0,0
26.12,17,26.9,4.8,758.0,0,1084.0,0,0
78.38,10,21.9,14.3,126.0,2,1044.0,0,0
78.93,9,30.6,1.0,178.0,4,673.0,0,0
87.53,12,28.8,22.7,725.0,1,595.0,0,0
31.8,13,16.2,27.8,1636.0,3,426.0,0,0
20.7,11,25.0,11.6,1073.0,3,1037.0,0,0
35.95,8,4.0,4.4,62.0,2,1168.0,0,0
245.18,0,61.2,188.3,42.0,7,1.0,1,1
9.45,13,12.2,2.4,235.0,0,428.0,0,0
11.29,6,33.9,27.5,837.0,0,698.0,0,0
37.93,15,14.2,4.1,821.0,1,842.0,0,0
254.96,2,74.8,20.3,44.0,9,153.0,1,1
11.1,14,6.7,10.9,75.0,1,61.0,0,0
25.96,21,7.7,2.2,1137.0,1,669.0,0,0
23.0,9,23.5,3.9,24.0,1,1354.0,0,0
5.24,14,7.2,14.3,544.0,2,1101.0,0,0
124.11,3,8.5,2.7,1337.0,0,699.0,0,0
6.46,14,6.8,27.8,704.0,1,614.0,0,0
9.16,12,11.1,11.8,665.0,3,1007.0,0,0
180.83,13,19.6,24.5,172.0,1,702.0,0,0
1045.22,4,38.6,158.1,86.0,6,171.0,1,1
45.31,11,10.7,12.2,1290.0,0,1124.0,0,0
14.31,6,40.2,6.7,1417.0,2,1140.0,0,0
409.35,17,5.0,1.2,1435.0,0,1272.0,0,0
22.66,16,24.5,13.4,1125.0,1,860.0,0,0
32.34,17,64.5,165.6,13.0,7,548.0,0,1
2.98,4,25.0,15.0,197.0,0,222.0,0,0
243.44,15,12.3,15.6,511.0,2,1332.0,1,0
16.27,17,0.4,3.1,469.0,1,728.0,0,0
34.06,12,11.4,33.4,763.0,1,1051.0,0,0
8.15,13,8.3,0.6,890.0,1,948.0,0,0
37.24,12,0.7,4.7,723.0,2,1723.0,0,0
501.44,14,53.9,274.9,57.0,2,536.0,0,1
3.75,19,22.4,5.5,1019.0,1,1595.0,0,0
12.93,10,9.5,9.6,462.0,1,745.0,0,0
31.97,13,12.3,1.4,1029.0,0,877.0,0,0
98.98,16,14.8,3.9,1493.0,1,1556.0,0,0
20.12,15,15.7,44.7,291.0,0,212.0,0,0
14.0,19,23.6,8.1,409.0,0,1065.0,0,0
9.33,11,29.1,8.1,1606.0,1,749.0,0,0
20.47,15,18.7,25.0,1093.0,2,779.0,0,0
59.14,3,71.9,16.5,103.0,7,312.0,0,1
44.79,17,23.0,14.1,690.0,2,732.0,0,0
16.38,12,24.2,11.9,756.0,1,935.0,0,0
76.2,13,61.4,205.9,25.0,8,595.0,1,1
27.4,2,78.9,118.8,53.0,8,281.0,1,1
358.84,14,82.1,41.5,14.0,7,513.0,1,1
48.77,12,5.0,13.2,607.0,3,831.0,0,0
6.78,19,11.2,34.4,701.0,0,648.0,0,0
37.03,10,31.1,38.8,504.0,0,562.0,0,0
6.56,14,5.0,8.9,1141.0,1,1396.0,0,0
60.34,7,30.4,17.5,688.0,3,786.0,0,0
59.39,11,18.1,16.7,1028.0,3,1050.0,0,0
45.02,12,20.8,20.2,451.0,0,530.0,0,0
36.93,13,6.0,9.4,14.0,2,713.0,0,0
